article,description,category_broad,category_specific,spotify_url,pageid,canonical,display,thumbnail_source,thumbnail_width,thumbnail_height,extract
21_Savage,American rapper from Georgia,music,rapper,https://p.scdn.co/mp3-preview/0ee84d22da0c86b9f6d0d21735c869006d41ab5f?cid=774b29d4f13844c495f206cafdad9c86,50338260,21_Savage,21 Savage,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c1/21_Savage_2018.jpg/256px-21_Savage_2018.jpg,256,320,"Shayaa Bin Abraham-Joseph, better known by his stage name 21 Savage, is an American rapper."
6ix9ine,American rapper,music,rapper,,55914767,6ix9ine,6ix9ine,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/6ix9ine_June.png/149px-6ix9ine_June.png,149,320,"Daniel Hernandez, known professionally as 6ix9ine or Tekashi 6ix9ine, is an American rapper. He is known for his unconventional appearance, controversial behavior and brute-force screaming technique in some of his songs."
AJ_McLean,American male singer,music,singer,https://p.scdn.co/mp3-preview/b8c2410a5acb68b462be6ac85f1312430e2b149c?cid=774b29d4f13844c495f206cafdad9c86,675411,AJ_McLean,AJ McLean,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Aj_mclean_signature.jpg/320px-Aj_mclean_signature.jpg,320,276,"Alexander James ""AJ"" McLean is an American singer, songwriter, actor, dancer, and model. He is a member of the vocal group the Backstreet Boys."
Ademola_Lookman,English association football player,sports,soccer player,,48501213,Ademola_Lookman,Ademola Lookman,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Ademola_Lookman%2C_Charlton_%28cropped%29.jpg/257px-Ademola_Lookman%2C_Charlton_%28cropped%29.jpg,257,320,"Ademola Lookman Olajade Alade Aylola Lookman is an English professional footballer who plays for Everton of the Premier League, and for the England national under-21 team."
Aleksandr_Golovin_(footballer),Russian association football player,sports,soccer player,,45671849,Aleksandr_Golovin_(footballer),Aleksandr Golovin (footballer),https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Rus-Egy_%288%29.jpg/226px-Rus-Egy_%288%29.jpg,226,320,Aleksandr Sergeyevich Golovin is a Russian professional footballer who plays as a central midfielder for AS Monaco and the Russian national team.
Alex_Jones,"American radio host, author, conspiracy theorist and filmmaker",entertainment,radio host,,358934,Alex_Jones,Alex Jones,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Alex_Jones_Portrait_%28cropped%29.jpg/306px-Alex_Jones_Portrait_%28cropped%29.jpg,306,320,"Alexander Emric Jones is an American radio show host and conspiracy theorist. He hosts The Alex Jones Show from Austin, Texas, which airs on the Genesis Communications Network across the United States and online. Jones runs a website, Infowars.com, devoted to conspiracy theories and fake news, and the websites NewsWars and PrisonPlanet."
Alexandria_Ocasio-Cortez,American politician and activist,politics,politician,,54885332,Alexandria_Ocasio-Cortez,Alexandria Ocasio-Cortez,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Alexandria_Ocasio-Cortez_July_2018_%28cropped2%29.jpg/240px-Alexandria_Ocasio-Cortez_July_2018_%28cropped2%29.jpg,240,320,"Alexandria Ocasio-Cortez is an American politician, educator, and political activist. On June 26, 2018, Ocasio-Cortez won the Democratic primary in New York's 14th congressional district covering parts of the Bronx and Queens in New York City, defeating the incumbent Congressman, Democratic Caucus Chair Joe Crowley, in what has been described as the biggest upset victory in the 2018 midterm-election season. Ocasio-Cortez is a member of the Democratic Socialists of America and has been endorsed by various politically progressive organizations and people."
Alphonso_Davies,Canadian soccer player,sports,soccer player,,49538223,Alphonso_Davies,Alphonso Davies,,,,"Alphonso Boyle Davies is a Canadian professional soccer player who currently plays as a winger for Vancouver Whitecaps FC in Major League Soccer and Canada men's national soccer team. He is the first player born in the 2000s to play in an MLS match. Davies will join Bundesliga club Bayern Munich in January 2019, on a contract until 2023."
Alvin_Kamara,American football player,sports,NFL player,,52022543,Alvin_Kamara,Alvin Kamara,,,,Alvin Mentian Kamara is an American football running back for the New Orleans Saints of the National Football League (NFL). He played college football for the University of Tennessee and was drafted by the Saints in the third round of the 2017 NFL Draft.
Andrade_Cien_Almas,Mexican luchador,sports,luchador,,23637966,Andrade_Cien_Almas,Andrade Cien Almas,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Manny_Andrade_NXT_Takeover_Dallas_2016.jpg/183px-Manny_Andrade_NXT_Takeover_Dallas_2016.jpg,183,320,"Manuel Alfonso Andrade Oropeza is a Mexican professional wrestler currently signed to WWE, performing on the SmackDown brand, under the ring name Andrade ""Cien"" Almas, and is a former, one-time NXT Champion as part of their NXT brand. He previously wrestled for Consejo Mundial de Lucha Libre (CMLL) from 2007 until 2015 under the ring name La Sombra."
Andrew_Gillum,"American politician and Mayor of Tallahassee, Florida",politics,politician,,11503296,Andrew_Gillum,Andrew Gillum,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Gillum.jpg/228px-Gillum.jpg,228,320,"Andrew Demese Gillum is an American politician who has served as the mayor of Tallahassee, Florida since 2014. He is the Democratic Party nominee for governor of Florida in the 2018 election. He previously served on the Tallahassee City Commission from 2003 to 2014; first elected at age 23, he was the city's youngest commissioner."
Angad_Bedi,Indian actor,film/tv/theater,actor,,10038011,Angad_Bedi,Angad Bedi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/82/Angad_Bedi_gracing_%E2%80%98Filmfare_Glamour_%26_Style_Awards_2016%E2%80%99.jpg/212px-Angad_Bedi_gracing_%E2%80%98Filmfare_Glamour_%26_Style_Awards_2016%E2%80%99.jpg,212,320,"Angad Singh Bedi is an Indian film actor and model known for his work in Bollywood and television. He made his Hindi film debut in 2011 with F.A.L.T.U. Angad made his television debut with Kaya Taran, an adaptation of a Malayalam short story by N. S. Madhavan, When Big Tree Falls, The Earth Is Bound To Shake."
Anne-Marie_(singer),British singer and songwriter,music,singer,https://p.scdn.co/mp3-preview/014f96202abf522b30d140eaa13f87bdb70d95fd?cid=774b29d4f13844c495f206cafdad9c86,51169701,Anne-Marie_(singer),Anne-Marie (singer),https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Anne-Marie_at_The_Queen%27s_Birthday_Party_%28cropped%29.jpg/192px-Anne-Marie_at_The_Queen%27s_Birthday_Party_%28cropped%29.jpg,192,320,"Anne-Marie Rose Nicholson is an English singer and songwriter. She has attained several charting singles on the UK Singles Chart, including Clean Bandit's ""Rockabye"", featuring Sean Paul, which peaked at number one, as well as ""Alarm"", ""Ciao Adios"", ""Friends"" and ""2002"". Her debut studio album, Speak Your Mind, was released on 27 April 2018."
Anya_Taylor-Joy,Argentine-British actress,film/tv/theater,actor,,47572155,Anya_Taylor-Joy,Anya Taylor-Joy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Anya_Taylor-Joy_by_Gage_Skidmore.jpg/218px-Anya_Taylor-Joy_by_Gage_Skidmore.jpg,218,320,"Anya-Josephine Taylor-Joy is an American-born British-Argentinian actress. She is best known for her roles as Thomasin in the period horror film The Witch (2015), as Casey Cooke in the horror-thriller film Split (2016), and as Lily in the black comedy thriller film Thoroughbreds (2018). Her well known roles in horror films have given her the label of a scream queen."
Arunachalam_Muruganantham,"inventor from rural Coimbatore in the southern state of Tamil Nadu, India",business,business,,36761300,Arunachalam_Muruganantham,Arunachalam Muruganantham,,,,"Padmashree Arunachalam Muruganantham (Padman) is a social entrepreneur from Coimbatore in Tamil Nadu, India. He is the inventor of a low-cost sanitary pad-making machine and is credited for innovating grassroots mechanisms for generating awareness about traditional unhygienic practices around menstruation in rural India. His mini-machines, which can manufacture sanitary pads for less than a third of the cost of commercial pads, have been installed in 23 of the 29 states of India. He is currently planning to expand the production of these machines to 106 nations."
Bad_Bunny,Puerto Rican singer,music,singer,https://p.scdn.co/mp3-preview/4c6dcffbd7c5794bbbf295b8d9d09bb9f45a2191?cid=774b29d4f13844c495f206cafdad9c86,55943877,Bad_Bunny,Bad Bunny,,,,"Benito Antonio Martínez Ocasio, known by his stage name Bad Bunny, is a Puerto Rican Latin trap and reggaeton singer. While working in a supermarket as a bagger and studying at the University of Puerto Rico at Arecibo, Bad Bunny gained popularity on SoundCloud."
Ben_McKenzie,"American actor, producer and economist",film/tv/theater,actor,,590444,Ben_McKenzie,Ben McKenzie,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Ben_McKenzie_%2817032849756%29.jpg/320px-Ben_McKenzie_%2817032849756%29.jpg,320,213,"Benjamin McKenzie Schenkkan, known professionally as Ben McKenzie, is an American actor and director. He is known as Ryan Atwood in the television series The O.C. and as Ben Sherman in Southland. He appeared in the films Junebug and 88 Minutes. His first starring role in a feature film was in the 2008 indie release Johnny Got His Gun. Since 2014, McKenzie has been starring as James Gordon in the television series Gotham."
Betsy_DeVos,11th United States Secretary of Education,politics,cabinet member,,2235726,Betsy_DeVos,Betsy DeVos,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Betsy_DeVos_official_portrait.jpg/256px-Betsy_DeVos_official_portrait.jpg,256,320,"Elisabeth Dee DeVos is an American businesswoman, politician, and government official serving as the 11th and current United States Secretary of Education since 2017."
Billie_Eilish,American singer-songwriter,music,singer,https://p.scdn.co/mp3-preview/667d929febdda3096a047d179d3819a2182595de?cid=774b29d4f13844c495f206cafdad9c86,53785363,Billie_Eilish,Billie Eilish,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Billie_Eilish_-_Los_Angeles_2017_%2814%29_%28cropped%29.jpg/256px-Billie_Eilish_-_Los_Angeles_2017_%2814%29_%28cropped%29.jpg,256,320,"Billie Eilish Pirate Baird O'Connell is an American singer and songwriter. Her debut single, ""Ocean Eyes"", went viral and has accumulated over 116 million streams on Spotify alone as of September 2018. Her debut EP Don't Smile at Me was released in August 2017. Following the EP's success, Apple Music named Eilish as its newest Up Next artist a month later in October 2017."
Billie_Kay,Australian professional wrestler,sports,wrestler,,42849568,Billie_Kay,Billie Kay,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Billie_Kay_Axxess_2018.jpg/286px-Billie_Kay_Axxess_2018.jpg,286,320,Jessica McKay is an Australian professional wrestler. She is signed to WWE under the ring name Billie Kay and performs on the SmackDown brand.
Brandon_Victor_Dixon,Actor and producer,entertainment,actor,,35747368,Brandon_Victor_Dixon,Brandon Victor Dixon,,,,"Brandon Victor Dixon is an American actor, singer and theatrical producer. As an actor, he is known for Tony-nominated Broadway performances as Harpo in the 2005 musical The Color Purple and Eubie Blake in Shuffle Along, or, the Making of the Musical Sensation of 1921 and All That Followed (2014). He originated both roles, as well as the leading role of Berry Gordy Jr. in Motown: The Musical (2013) on Broadway, which earned a Grammy nomination for Best Musical Theater Album. In 2016, Dixon assumed the role of Aaron Burr in the Broadway company of Hamilton. Off-Broadway as well as in London's West End, Dixon played the role of Hayward Patterson in The Scottsboro Boys."
Brendon_Miller,Pornographic film actor,entertainment,actor,,40044245,Brendon_Miller,Brendon Miller,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ae/Brandon_Miller_2013.jpg/213px-Brandon_Miller_2013.jpg,213,320,Brendon Miller is an American pornographic actor and musician.
Brianna_Hildebrand,"American film actor, actor and television actor",entertainment,actor,,46274855,Brianna_Hildebrand,Brianna Hildebrand,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Brianna_Hildebrand_by_Gage_Skidmore_2.jpg/242px-Brianna_Hildebrand_by_Gage_Skidmore_2.jpg,242,320,"Brianna Caitlin Hildebrand is an American actress. She is known for appearing in the web series Annie Undocumented, and as Negasonic Teenage Warhead in the films Deadpool (2016) and Deadpool 2 (2018)."
Brooks_Koepka,American professional golfer,sports,golfer,,37218741,Brooks_Koepka,Brooks Koepka,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Brooks_Koepka.png/320px-Brooks_Koepka.png,320,295,"Brooks Koepka is an American professional golfer who plays on the PGA Tour. Ranked as high as second in the Official World Golf Ranking, he started his career on the European Challenge Tour and eventually the European Tour. He played collegiate golf at Florida State University."
Camila_Mendes,Brazilian American actress,entertainment,actor,,51237620,Camila_Mendes,Camila Mendes,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Camila_Mendes_by_Gage_Skidmore_2.jpg/228px-Camila_Mendes_by_Gage_Skidmore_2.jpg,228,320,Camila Carraro Mendes is an American actress. She is known for portraying Veronica Lodge on The CW television series Riverdale.
Cardi_B,"American rapper, television and internet personality and former exotic dancer",music,rapper,https://p.scdn.co/mp3-preview/0f8734f51bb0a419959fdad3a0852621f9e6bc89?cid=774b29d4f13844c495f206cafdad9c86,53594450,Cardi_B,Cardi B,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Cardi_B_2016.jpg/248px-Cardi_B_2016.jpg,248,320,"Belcalis Marlenis Almánzar, known professionally as Cardi B, is an American rapper, singer, songwriter, and television personality. Born and raised in The Bronx, New York City, she first attracted attention for discussing her career as a stripper on social media; she became an Internet celebrity after several of her posts and videos went viral on Vine and Instagram. From 2015 to 2017, she appeared as a regular cast member on the VH1 reality television series Love & Hip Hop: New York to follow her music aspirations, and released two mixtapes—Gangsta Bitch Music, Vol. 1 and Vol. 2."
Carlos_Pena_Jr.,"American film and TV actor, singer-songwriter, dancer and television show host",film/tv/theater,actor,,25896674,Carlos_Pena_Jr.,Carlos Pena Jr.,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Carlos_Pena_Jr_BTR_Paparazzo.jpg/258px-Carlos_Pena_Jr_BTR_Paparazzo.jpg,258,320,"Carlos Roberto PenaVega is an American actor and singer. He starred on the Nickelodeon series Big Time Rush as Carlos García, and was a member of the band Big Time Rush. He was the host of the Nickelodeon game show Webheads."
Carson_Wentz,American football quarterback,sports,NFL player,,47856140,Carson_Wentz,Carson Wentz,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/CarsonWentz11.jpg/264px-CarsonWentz11.jpg,264,320,"Carson James Wentz is an American football quarterback for the Philadelphia Eagles of the National Football League (NFL). He played college football at North Dakota State University (NDSU) and was selected by the Eagles with the second overall pick of the 2016 NFL Draft, the highest selection ever for an FCS player."
Carter_Page,American oil industry consultant,business,business,,51724152,Carter_Page,Carter Page,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Carter_Page_MSNBC_June_2017_YouTube.png/300px-Carter_Page_MSNBC_June_2017_YouTube.png,300,320,"Carter William Page is an American petroleum industry consultant and a former foreign-policy adviser to Donald Trump during his 2016 Presidential election campaign. Page is the founder and managing partner of Global Energy Capital, a one-man investment fund and consulting firm specializing in the Russian and Central Asian oil and gas business. He has been a focus of the 2017 Special Counsel investigation into links between Trump associates and Russian officials and Russian interference on behalf of Trump during the 2016 Presidential election."
Charles_Leclerc_(racing_driver),Monegasque racing driver,sports,racing driver,,44924226,Charles_Leclerc_(racing_driver),Charles Leclerc (racing driver),https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Charles_Leclerc_after_winning_F2_championship-2.jpg/214px-Charles_Leclerc_after_winning_F2_championship-2.jpg,214,320,"Charles Leclerc is a Monégasque racing driver, currently driving for Alfa Romeo-Sauber F1 Team in the 2018 FIA Formula One World Championship. A member of the Ferrari Driver Academy, he won the GP3 Series championship in 2016 and the FIA Formula 2 Championship in 2017. Leclerc has agreed on a contract with Scuderia Ferrari for the 2019 season where he will drive alongside Sebastian Vettel."
Cheryl_(singer),"English singer, songwriter and television personality",music,singer,,8979822,Cheryl_(singer),Cheryl (singer),https://upload.wikimedia.org/wikipedia/commons/thumb/0/01/Cheryl_Cole_Cannes_2014.jpg/226px-Cheryl_Cole_Cannes_2014.jpg,226,320,"Cheryl Ann Tweedy is an English singer, songwriter and television personality. Born and raised in Newcastle upon Tyne, she rose to fame in late 2002 upon winning a place in Girls Aloud, a girl group created through ITV's Popstars: The Rivals. While still in the group, she began a solo career in April 2009, and between then and 2014, she released four studio albums – 3 Words (2009), Messy Little Raindrops (2010), A Million Lights (2012) and Only Human (2014) – which collectively produced ten singles, including five UK number-ones. Cheryl has the second most UK number-one singles for a British female solo artist with five records, behind Jess Glynne, who has seven."
Chloe_Kim,American snowboarder,sports,snowboarder,,41747787,Chloe_Kim,Chloe Kim,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Chloe_Kim_%28February%2C_2017%29.png/265px-Chloe_Kim_%28February%2C_2017%29.png,265,320,"Chloe Kim is an American snowboarder. At the 2018 Winter Olympics, she became the youngest woman to win an Olympic snowboarding medal when she won gold in the women’s snowboard halfpipe at the age of 17 years. She is a four-time X Games gold medalist and the first woman to win two gold medals in snowboarding at the Winter Youth Olympic Games."
Chris_Eubank_Jr.,British professional boxer,sports,boxer,,17361311,Chris_Eubank_Jr.,Chris Eubank Jr.,https://upload.wikimedia.org/wikipedia/commons/thumb/6/63/Chris_Eubank_Jr._2017.png/215px-Chris_Eubank_Jr._2017.png,215,320,"Christopher Livingstone Eubank is a British professional boxer. He held the IBO super-middleweight title from 2017 to 2018, and previously the WBA interim and British middleweight titles between 2015 and 2016. In February 2018, Eubank was ranked as the world's best active super-middleweight by BoxRec, third by the Transnational Boxing Rankings Board, and fourth by The Ring magazine. He is the son of former two-weight world boxing champion Chris Eubank."
Christopher_Steele,former British intelligence officer,politics,government,,52845543,Christopher_Steele,Christopher Steele,,,,"Christopher David Steele is a former British intelligence officer with the Secret Intelligence Service MI6 from 1987 until his retirement in 2009. He ran the Russia desk at MI6 headquarters in London between 2006 and 2009. In 2009 he co-founded Orbis Business Intelligence, a London-based private intelligence firm. He authored a dossier that claims Russia collected a file of compromising information on U.S. President Donald Trump."
Dan_Avidan,American internet celebrity,entertainment,internet celebrity,,42141937,Dan_Avidan,Dan Avidan,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Dan_Avidan_at_the_Hammersmith_Apollo_in_London_-_October_2017.jpg/240px-Dan_Avidan_at_the_Hammersmith_Apollo_in_London_-_October_2017.jpg,240,320,"Leigh Daniel Avidan, known professionally as Dan Avidan and by his stage name Danny Sexbang, is an American musician, Internet personality, singer-songwriter, comedian, and actor. He is one half of the musical comedy duo Ninja Sex Party with Brian Wecht, as well as the co-host of the Let's Play webseries Game Grumps with Arin Hanson. He is also part of the video game-based comedy music trio Starbomb, alongside Hanson and Wecht."
Danielle_Bregoli,American internet personality and rapper,entertainment,internet celebrity,,55205096,Danielle_Bregoli,Danielle Bregoli,,,,"Danielle Bregoli, better known by her stage name Bhad Bhabie, is an American rapper and internet personality. She became known for the viral video meme and catch phrase ""cash me outside, how 'bout dah?"" after appearing on an episode of Dr. Phil in September 2016. In 2017, Bregoli became the youngest female rapper ever to appear on the Billboard Hot 100 chart with her debut single ""These Heaux"". She subsequently signed a record deal with Atlantic Records."
Danielle_Jonas,,entertainment,tv personality,,56399298,Danielle_Jonas,Danielle Jonas,,,,Danielle Jonas is an American reality television personality and former hairdresser. She is known for starring on the E! Entertainment network's reality show called Married to Jonas. She starred on the show alongside her husband Kevin Jonas who is a musician and actor.
Danielle_Spencer_(Australian_actress),Australian singer-songwriter and actress,music,actor,,2302584,Danielle_Spencer_(Australian_actress),Danielle Spencer (Australian actress),https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/Danielle_Spencer_2013.jpg/228px-Danielle_Spencer_2013.jpg,228,320,"Danielle Spencer is an Australian actress, singer and songwriter."
Dipak_Misra,45th Chief Justice of India,politics,politician,,37185043,Dipak_Misra,Dipak Misra,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/The_Chief_Justice_of_India%2C_Justice_Shri_Dipak_Misra_during_the_24th_Foundation_Day_Function_of_the_National_Human_Rights_Commission_%28NHRC%29%2C_in_New_Delhi_on_October_12%2C_2017_%28cropped%29.jpg/283px-thumbnail.jpg,283,320,"Justice Dipak Misra is an Indian judge serving as the 45th and current Chief Justice of India since 28 August 2017. He is a judge of the Supreme Court of India and former Chief Justice of the Patna and Delhi High Courts. He is the nephew of Justice Ranganath Misra, who was the 21st Chief Justice from 1990 to 1991. He succeeded J. S. Khehar, the 44th Chief Justice."
Dominic_Raab,British politician,politics,politician,,27269553,Dominic_Raab,Dominic Raab,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Official_portrait_of_Dominic_Raab_crop_2.jpg/240px-Official_portrait_of_Dominic_Raab_crop_2.jpg,240,320,Dominic Rennie Raab is a British Conservative Party politician who is Secretary of State for Exiting the European Union.
Dua_Lipa,British singer-songwriter,music,singer,https://p.scdn.co/mp3-preview/75a1b521de23958a2db9acf4fc8151999ee54bd7?cid=774b29d4f13844c495f206cafdad9c86,49002318,Dua_Lipa,Dua Lipa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/aa/Dua_Lipa_02_12_2018_-2_%2840157502064%29.jpg/228px-Dua_Lipa_02_12_2018_-2_%2840157502064%29.jpg,228,320,"Dua Lipa is an English singer, songwriter, and model. Her musical career began at age 14, when she began covering songs by other artists on YouTube. In 2015, she signed with Warner Music Group and released her first single soon after."
George_Miller_(entertainer),"Australian Japanese YouTuber, comedian, musician and web actor",entertainment,youtuber,,52847822,George_Miller_(entertainer),George Miller (entertainer),,,,"George Miller, better known by his stage name Joji, is a Japanese-Australian record producer, singer, songwriter, rapper and retired YouTube personality."
Giovani_Lo_Celso,Argentine association football player,sports,soccer player,,48712502,Giovani_Lo_Celso,Giovani Lo Celso,https://upload.wikimedia.org/wikipedia/commons/5/56/Giovani_Lo_Celso_%28cropped%29.jpg,175,244,"Giovani Lo Celso is an Argentine professional footballer who plays as a central midfielder for Real Betis, on loan from Paris Saint-Germain, and the Argentina national team."
